"Source:","/home/irandms/ownCloud/school/JuniorDesign/junior-design/ac-switch-board-minimal/ac-switch-board-minimal.sch"
"Date:","Sun 18 Feb 2018 08:33:54 PM PST"
"Tool:","Eeschema 4.0.7"
"Generator:","/usr/lib64/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","66"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C10, ","2","10uF","CP1","Capacitors_SMD:CP_Elec_4x4.5","Polarised capacitor",""
"C2, C4, ","2","20pF","C","Capacitors_SMD:C_0603","Unpolarized capacitor",""
"C3, C15, C16, C8, ","4","100nF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor",""
"C5, C6, ","2","6800uF","CP1","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","Polarised capacitor",""
"C7, C14, ","2","10uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor",""
"C9, ","1","0.1uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor",""
"C11, ","1","0.015uf","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C12, ","1","680pF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C13, ","1","47pF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C17, C18, ","2","1nF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"CON1, ","1","AVR-ISP-6","AVR-ISP-6","Connectors:IDC_Header_Straight_6pins","Standard IDC6 Male Connector, ATMEL ISP 6pin",""
"D1, ","1","110B2 (W01G)","D_Bridge_+A-A","Diodes_THT:Diode_Bridge_Round_D8.9mm","Diode bridge (pins: 1=+, 2=AC, 3=-, 4=AC)",""
"D2, ","1","B220A","D_Schottky","footprints:D_SMA","Schottky diode",""
"D3, ","1","LED","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"D4, ","1","LED","LED","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","LED generic",""
"F1, F2, ","2","Fuse","Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm","Fuse, generic",""
"J1, ","1","AC_IN","Screw_Terminal_01x03","Connectors:AK300-3","Generic screw terminal, single row, 01x03",""
"J2, ","1","DIGITS","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","Generic connector, single row, 01x08",""
"J3, ","1","SEGMENTS0","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","Generic connector, single row, 01x08",""
"J4, ","1","DISP0_EXTRAS","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","Generic connector, single row, 01x04",""
"J5, ","1","DISP1_EXTRAS","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","Generic connector, single row, 01x04",""
"J6, ","1","BLUEFRUIT_CONNECTOR","Conn_01x09_Female","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm","Generic connector, single row, 01x09",""
"J7, ","1","RELAY_CONN","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","Generic connector, single row, 01x04",""
"J8, ","1","CH0_BACKUP_ACS","Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","Generic connector, single row, 01x03",""
"J9, ","1","CH1_BACKUP_ACS","Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","Generic connector, single row, 01x03",""
"J10, ","1","BACKUP_VOUT","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","Generic connector, single row, 01x02",""
"J11, ","1","BACKUP_VIN","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","Generic connector, single row, 01x02",""
"J12, ","1","CH0_AC","Screw_Terminal_01x03","Connectors:AK300-3","Generic screw terminal, single row, 01x03",""
"J13, ","1","CH1_AC","Screw_Terminal_01x03","Connectors:AK300-3","Generic screw terminal, single row, 01x03",""
"J14, ","1","UART","Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","Generic connector, single row, 01x03",""
"J15, ","1","Conn_01x01","Conn_01x01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm","Generic connector, single row, 01x01",""
"J16, ","1","SEGMENTS1","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","Generic connector, single row, 01x08",""
"J17, ","1","XTRA_GND","Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","Generic connector, single row, 01x03",""
"L1, ","1","3.3uH","L","footprints:L_Sumida_4.9x4.9mm_diag","Inductor",""
"LS1, LS2, ","2","Speaker","Speaker","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","speaker ",""
"Q1, Q2, ","2","2N7000","2N7000","TO_SOT_Packages_THT:TO-92_Molded_Narrow","200V Vds, N-Channel MOSFET, 2.6V Logic Level, TO-92",""
"R3, ","1","150k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R4, ","1","48.7k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R5, ","1","17.4k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R6, R10, R12, R1, R2, ","5","10k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R7, ","1","1.87k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R8, ","1","1.37k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R9, R11, ","2","100","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","Resistor",""
"R13, ","1","220","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"U1, ","1","ATMEGA328P-PU","ATMEGA328P-PU","Housings_DIP:DIP-28_W7.62mm_Socket","PDIP28 Narrow, 16k Flash, 1kB SRAM, 512B EEPROM",""
"U2, ","1","MAX7221","MAX7221","Housings_DIP:DIP-24_W7.62mm_Socket","",""
"U3, ","1","TPS54232","TPS54232","footprints:SOIC-8-N","",""
"U4, U5, ","2","ACS723","ACS723","footprints:SOIC-8-N","ACS723 Current IC from Allegro Microsystems LLC",""
"Y1, ","1","16MHz","Crystal","Crystals:Crystal_HC49-4H_Vertical","Two pin crystal",""
